artist_name|title|release|track_id|start_of_fade_out|duration|year|artist_location
Casual|I Didn't Mean To|Fear Itself|TRAAAAW128F429D538|218.932|218.93179|0|California - LA
The Box Tops|Soul Deep|Dimensions|TRAAABD128F429CF47|137.915|148.03546|1969|Memphis, TN
Sonora Santanera|Amor De Cabaret|Las Numero 1 De La Sonora Santanera|TRAAADZ128F9348C2E|172.304|177.47546|0|
Adam Ant|Something Girls|Friend Or Foe|TRAAAEF128F4273421|217.124|233.40363|1982|London, England
Gob|Face the Ashes|Muertos Vivos|TRAAAFD128F92F423A|198.699|209.60608|2007|
Jeff And Sheri Easter|The Moon And I (Ordinary Day Album Version)|Ordinary Day|TRAAAMO128F1481E7F|254.27|267.7024|0|
Rated R|Keepin It Real (Skit)|Da Ghetto Psychic|TRAAAMQ128F1460CD3|114.782|114.78159|0|Ohio
Tweeterfriendly Music|Drop of Rain|Gin & Phonic|TRAAAPK128E0786D96|181.023|189.57016|0|Burlington, Ontario, Canada
Planet P Project|Pink World|Pink World|TRAAARJ128F9320760|258.99|269.81832|1984|
Clp|Insatiable (Instrumental Version)|Superinstrumental|TRAAAVG12903CFA543|261.747|266.39628|0|
JennyAnyKind|Young Boy Blues|I Need You|TRAAAVO128F93133D4|207.012|218.77506|0|North Carolina
Wayne Watson|The Urgency (LP Version)|The Way Home|TRAABCL128F4286650|227.48|245.21098|0|Wisner, LA
Andy Andy|La Culpa|Placer & Castigo|TRAABDL12903CAABBA|221.553|226.35057|0|
Bob Azzam|Auguri Cha Cha|Arrivederci|TRAABJL12903CDCF1A|188.424|191.84281|0|
Lionel Richie|Tonight Will Be Alright|Dancing On The Ceiling|TRAABJV128F1460C49|296.658|307.3824|1986|Beverly Hills, CA
Blue Rodeo|Floating|Outskirts|TRAABLR128F423B7E3|486.034|491.12771|1987|Toronto, Ontario, Canada
Richard Souther|High Tide|Cross Currents|TRAABNV128F425CEE1|217.426|228.5971|0|United States
Faiz Ali Faiz|Sohna Nee Sohna Data|Panjtan Ka Ghulam|TRAABRB128F9306DD5|591.999|599.24853|0|
Tesla|Caught In A Dream|Gold|TRAABVM128F92CA9DC|285.605|290.29832|2004|
lextrical|Synthetic Dream|Whatever Happened To Boredom?|TRAABXG128F9318EBD|157.391|165.69424|0|
Jimmy Wakely|Broken-Down Merry-Go-Round|1942-1952 Jimmy Wakely|TRAABYN12903CFD305|146.199|151.84934|0|Mineola, AR
Alice Stuart|Kassie Jones|All The Good Times|TRAABYW128F4244559|207.656|220.78649|0|Washington
Elena|Setanta matins|Un cafe_ setanta matins|TRAACCG128F92E8A55|256.168|269.58322|0|Dubai UAE
The Dillinger Escape Plan|Setting Fire to Sleeping Giants|Miss Machine|TRAACER128F4290F96|204.696|207.77751|2004|Morris Plains, NJ
SUE THOMPSON|James (Hold The Ladder Steady)|Sue Thompson - Her Very Best|TRAACFV128F935E50B|115.74|124.86485|1985|Nevada, MO
Five Bolt Main|Made Like This (Live)|Live|TRAACHN128F1489601|225.097|225.09669|0|
Clp|Superconfidential|Strictly Confidential|TRAACIW12903CC0F6D|338.311|338.31138|0|
Tim Wilson|I Think My Wife Is Running Around On Me (Taco Hell)|The Real Twang Thang|TRAACLV128F427E123|175.467|186.48771|2005|Georgia
Willie Bobo|Spanish Grease|Willie Bobo's Finest Hour|TRAACNS128F14A2DF5|161.89|168.25424|1997|New York, NY [Spanish Harlem]
Faye Adams|Crazy Mixed Up World|Shake A Hand|TRAACOW128F933E35F|150.634|156.39465|1961|Newark, NJ
Terry Callier|Do You Finally Need A Friend|Occasional Rain|TRAACPE128F421C1B9|333.154|342.56934|1972|Chicago
John Wesley|The Emperor Falls|The Emperor Falls|TRAACQT128F9331780|480.363|484.62322|0|Brandon
The Shangri-Las|Twist and Shout|Best of The Shangri-Las|TRAACSL128F93462F4|156.177|164.80608|1964|Queens, NY
Billie Jo Spears|It Makes No Difference Now|20 Of Her Best|TRAACTB12903CAAF15|130.009|133.32853|1992|Beaumont, TX
Mike Jones (Featuring CJ_ Mello & Lil' Bran)|Laws Patrolling (Album Version)|Who Is Mike Jones?|TRAACVS128E078BE39|164.908|173.66159|0|Houston, TX
Butthole Surfers|"Barking Dogs (From ""Piouhgd"")"|Piouhgd + Widowermaker!|TRAADDS128F425C68B|426.104|450.84689|0|San Antonio, TX
Despina Vandi|OUTE ENA EFHARISTO|Profities|TRAADED128F42741FD|294.818|303.09832|0|
Javier Navarrete|Midnight Swim|Cracks|TRAADEV128F9348C0A|121.423|128.83546|0|
Jacob Young|In A Subtle Way|Pieces Of Time|TRAADHS12903CE70A9|451.315|456.30649|0|
Scarlet's Remains|Spin|The Palest Grey|TRAADIV12903CB15C1|193.016|198.73914|2007|California - LA
The Suicide Machines|Burning In The Aftermath|A Match & Some Gasoline|TRAADLH12903CA70EE|87.806|95.68608|2003|Detroit, MI
The Rolling Stones|Angie (1993 Digital Remaster)|Jump Back - The Best Of The Rolling Stones_ '71-'93|TRAADLN128F14832E9|263.784|271.49016|0|London, England
Roberto Torres|Sabor Guajiro|Lo Mejor con La Orq. Broadway|TRAADLR12903CF8D7E|219.51|226.66404|0|
Loudon Wainwright III|Human Cannonball|Grown Man|TRAADLX128F1469250|177.029|190.48444|1995|Chapel Hill, NC
R.L. Burnside|Glory Be|A Bothered Mind|TRAADMH128F9343E59|267.453|277.78567|2004|Oxford, MS
Stevie Ray Vaughan|Crossfire|Greatest Hits|TRAADNA128F9331246|246.19|248.78975|1992|Dallas, TX
John Hammond|I Can't Be Satisfied|Bluesman|TRAADOF12903CAA1C1|187.617|195.3171|2002|
Casiotone For The Painfully Alone|Nashville Parthenon|Etiquette|TRAADQX128F422B4CF|168.699|175.72526|2006|
